行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
02000,青森県,,ｱｵﾓﾘｹﾝ,,TRUE,02
02201,青森県,青森市,ｱｵﾓﾘｹﾝ,ｱｵﾓﾘｼ,FALSE,02
02202,青森県,弘前市,ｱｵﾓﾘｹﾝ,ﾋﾛｻｷｼ,FALSE,02
02203,青森県,八戸市,ｱｵﾓﾘｹﾝ,ﾊﾁﾉﾍｼ,FALSE,02
02204,青森県,黒石市,ｱｵﾓﾘｹﾝ,ｸﾛｲｼｼ,FALSE,02
02205,青森県,五所川原市,ｱｵﾓﾘｹﾝ,ｺﾞｼｮｶﾞﾜﾗｼ,FALSE,02
02206,青森県,十和田市,ｱｵﾓﾘｹﾝ,ﾄﾜﾀﾞｼ,FALSE,02
02207,青森県,三沢市,ｱｵﾓﾘｹﾝ,ﾐｻﾜｼ,FALSE,02
02208,青森県,むつ市,ｱｵﾓﾘｹﾝ,ﾑﾂｼ,FALSE,02
02209,青森県,つがる市,ｱｵﾓﾘｹﾝ,ﾂｶﾞﾙｼ,FALSE,02
02210,青森県,平川市,ｱｵﾓﾘｹﾝ,ﾋﾗｶﾜｼ,FALSE,02
02301,青森県,平内町,ｱｵﾓﾘｹﾝ,ﾋﾗﾅｲﾏﾁ,FALSE,02
02303,青森県,今別町,ｱｵﾓﾘｹﾝ,ｲﾏﾍﾞﾂﾏﾁ,FALSE,02
02304,青森県,蓬田村,ｱｵﾓﾘｹﾝ,ﾖﾓｷﾞﾀﾑﾗ,FALSE,02
02307,青森県,外ヶ浜町,ｱｵﾓﾘｹﾝ,ｿﾄｶﾞﾊﾏﾏﾁ,FALSE,02
02321,青森県,鰺ヶ沢町,ｱｵﾓﾘｹﾝ,ｱｼﾞｶﾞｻﾜﾏﾁ,FALSE,02
02323,青森県,深浦町,ｱｵﾓﾘｹﾝ,ﾌｶｳﾗﾏﾁ,FALSE,02
02343,青森県,西目屋村,ｱｵﾓﾘｹﾝ,ﾆｼﾒﾔﾑﾗ,FALSE,02
02361,青森県,藤崎町,ｱｵﾓﾘｹﾝ,ﾌｼﾞｻｷﾏﾁ,FALSE,02
02362,青森県,大鰐町,ｱｵﾓﾘｹﾝ,ｵｵﾜﾆﾏﾁ,FALSE,02
02367,青森県,田舎館村,ｱｵﾓﾘｹﾝ,ｲﾅｶﾀﾞﾃﾑﾗ,FALSE,02
02381,青森県,板柳町,ｱｵﾓﾘｹﾝ,ｲﾀﾔﾅｷﾞﾏﾁ,FALSE,02
02384,青森県,鶴田町,ｱｵﾓﾘｹﾝ,ﾂﾙﾀﾏﾁ,FALSE,02
02387,青森県,中泊町,ｱｵﾓﾘｹﾝ,ﾅｶﾄﾞﾏﾘﾏﾁ,FALSE,02
02401,青森県,野辺地町,ｱｵﾓﾘｹﾝ,ﾉﾍｼﾞﾏﾁ,FALSE,02
02402,青森県,七戸町,ｱｵﾓﾘｹﾝ,ｼﾁﾉﾍﾏﾁ,FALSE,02
02405,青森県,六戸町,ｱｵﾓﾘｹﾝ,ﾛｸﾉﾍﾏﾁ,FALSE,02
02406,青森県,横浜町,ｱｵﾓﾘｹﾝ,ﾖｺﾊﾏﾏﾁ,FALSE,02
02408,青森県,東北町,ｱｵﾓﾘｹﾝ,ﾄｳﾎｸﾏﾁ,FALSE,02
02411,青森県,六ヶ所村,ｱｵﾓﾘｹﾝ,ﾛｯｶｼｮﾑﾗ,FALSE,02
02412,青森県,おいらせ町,ｱｵﾓﾘｹﾝ,ｵｲﾗｾﾁｮｳ,FALSE,02
02423,青森県,大間町,ｱｵﾓﾘｹﾝ,ｵｵﾏﾏﾁ,FALSE,02
02424,青森県,東通村,ｱｵﾓﾘｹﾝ,ﾋｶﾞｼﾄﾞｵﾘﾑﾗ,FALSE,02
02425,青森県,風間浦村,ｱｵﾓﾘｹﾝ,ｶｻﾞﾏｳﾗﾑﾗ,FALSE,02
02426,青森県,佐井村,ｱｵﾓﾘｹﾝ,ｻｲﾑﾗ,FALSE,02
02441,青森県,三戸町,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍﾏﾁ,FALSE,02
02442,青森県,五戸町,ｱｵﾓﾘｹﾝ,ｺﾞﾉﾍﾏﾁ,FALSE,02
02443,青森県,田子町,ｱｵﾓﾘｹﾝ,ﾀｯｺﾏﾁ,FALSE,02
02445,青森県,南部町,ｱｵﾓﾘｹﾝ,ﾅﾝﾌﾞﾁｮｳ,FALSE,02
02446,青森県,階上町,ｱｵﾓﾘｹﾝ,ﾊｼｶﾐﾁｮｳ,FALSE,02
02450,青森県,新郷村,ｱｵﾓﾘｹﾝ,ｼﾝｺﾞｳﾑﾗ,FALSE,02
03000,岩手県,,ｲﾜﾃｹﾝ,,TRUE,03
03201,岩手県,盛岡市,ｲﾜﾃｹﾝ,ﾓﾘｵｶｼ,FALSE,03
03202,岩手県,宮古市,ｲﾜﾃｹﾝ,ﾐﾔｺｼ,FALSE,03
03203,岩手県,大船渡市,ｲﾜﾃｹﾝ,ｵｵﾌﾅﾄｼ,FALSE,03
03205,岩手県,花巻市,ｲﾜﾃｹﾝ,ﾊﾅﾏｷｼ,FALSE,03
03206,岩手県,北上市,ｲﾜﾃｹﾝ,ｷﾀｶﾐｼ,FALSE,03
03207,岩手県,久慈市,ｲﾜﾃｹﾝ,ｸｼﾞｼ,FALSE,03
03208,岩手県,遠野市,ｲﾜﾃｹﾝ,ﾄｵﾉｼ,FALSE,03
03209,岩手県,一関市,ｲﾜﾃｹﾝ,ｲﾁﾉｾｷｼ,FALSE,03
03210,岩手県,陸前高田市,ｲﾜﾃｹﾝ,ﾘｸｾﾞﾝﾀｶﾀｼ,FALSE,03
03211,岩手県,釜石市,ｲﾜﾃｹﾝ,ｶﾏｲｼｼ,FALSE,03
03213,岩手県,二戸市,ｲﾜﾃｹﾝ,ﾆﾉﾍｼ,FALSE,03
03214,岩手県,八幡平市,ｲﾜﾃｹﾝ,ﾊﾁﾏﾝﾀｲｼ,FALSE,03
03215,岩手県,奥州市,ｲﾜﾃｹﾝ,ｵｳｼｭｳｼ,FALSE,03
03216,岩手県,滝沢市,ｲﾜﾃｹﾝ,ﾀｷｻﾞﾜｼ,FALSE,03
03301,岩手県,雫石町,ｲﾜﾃｹﾝ,ｼｽﾞｸｲｼﾁｮｳ,FALSE,03
03302,岩手県,葛巻町,ｲﾜﾃｹﾝ,ｸｽﾞﾏｷﾏﾁ,FALSE,03
03303,岩手県,岩手町,ｲﾜﾃｹﾝ,ｲﾜﾃﾏﾁ,FALSE,03
