行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
16000,富山県,,ﾄﾔﾏｹﾝ,,TRUE,16,,
16201,富山県,富山市,ﾄﾔﾏｹﾝ,ﾄﾔﾏｼ,FALSE,16,,
16202,富山県,高岡市,ﾄﾔﾏｹﾝ,ﾀｶｵｶｼ,FALSE,16,,
16204,富山県,魚津市,ﾄﾔﾏｹﾝ,ｳｵﾂﾞｼ,FALSE,16,,
16205,富山県,氷見市,ﾄﾔﾏｹﾝ,ﾋﾐｼ,FALSE,16,,
16206,富山県,滑川市,ﾄﾔﾏｹﾝ,ﾅﾒﾘｶﾜｼ,FALSE,16,,
16207,富山県,黒部市,ﾄﾔﾏｹﾝ,ｸﾛﾍﾞｼ,FALSE,16,,
16208,富山県,砺波市,ﾄﾔﾏｹﾝ,ﾄﾅﾐｼ,FALSE,16,,
16209,富山県,小矢部市,ﾄﾔﾏｹﾝ,ｵﾔﾍﾞｼ,FALSE,16,,
16210,富山県,南砺市,ﾄﾔﾏｹﾝ,ﾅﾝﾄｼ,FALSE,16,,
16211,富山県,射水市,ﾄﾔﾏｹﾝ,ｲﾐｽﾞｼ,FALSE,16,,
16321,富山県,舟橋村,ﾄﾔﾏｹﾝ,ﾌﾅﾊｼﾑﾗ,FALSE,16,,
16322,富山県,上市町,ﾄﾔﾏｹﾝ,ｶﾐｲﾁﾏﾁ,FALSE,16,,
16323,富山県,立山町,ﾄﾔﾏｹﾝ,ﾀﾃﾔﾏﾏﾁ,FALSE,16,,
16342,富山県,入善町,ﾄﾔﾏｹﾝ,ﾆｭｳｾﾞﾝﾏﾁ,FALSE,16,,
16343,富山県,朝日町,ﾄﾔﾏｹﾝ,ｱｻﾋﾏﾁ,FALSE,16,,
17000,石川県,,ｲｼｶﾜｹﾝ,,TRUE,17,,
17201,石川県,金沢市,ｲｼｶﾜｹﾝ,ｶﾅｻﾞﾜｼ,FALSE,17,,
17202,石川県,七尾市,ｲｼｶﾜｹﾝ,ﾅﾅｵｼ,FALSE,17,,
