行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
21000,岐阜県,,ｷﾞﾌｹﾝ,,TRUE,21
21201,岐阜県,岐阜市,ｷﾞﾌｹﾝ,ｷﾞﾌｼ,FALSE,21
21202,岐阜県,大垣市,ｷﾞﾌｹﾝ,ｵｵｶﾞｷｼ,FALSE,21
21203,岐阜県,高山市,ｷﾞﾌｹﾝ,ﾀｶﾔﾏｼ,FALSE,21
21204,岐阜県,多治見市,ｷﾞﾌｹﾝ,ﾀｼﾞﾐｼ,FALSE,21
21205,岐阜県,関市,ｷﾞﾌｹﾝ,ｾｷｼ,FALSE,21
21206,岐阜県,中津川市,ｷﾞﾌｹﾝ,ﾅｶﾂｶﾞﾜｼ,FALSE,21
21207,岐阜県,美濃市,ｷﾞﾌｹﾝ,ﾐﾉｼ,FALSE,21
21208,岐阜県,瑞浪市,ｷﾞﾌｹﾝ,ﾐｽﾞﾅﾐｼ,FALSE,21
21209,岐阜県,羽島市,ｷﾞﾌｹﾝ,ﾊｼﾏｼ,FALSE,21
21210,岐阜県,恵那市,ｷﾞﾌｹﾝ,ｴﾅｼ,FALSE,21
21211,岐阜県,美濃加茂市,ｷﾞﾌｹﾝ,ﾐﾉｶﾓｼ,FALSE,21
21212,岐阜県,土岐市,ｷﾞﾌｹﾝ,ﾄｷｼ,FALSE,21
21213,岐阜県,各務原市,ｷﾞﾌｹﾝ,ｶｶﾐｶﾞﾊﾗｼ,FALSE,21
21214,岐阜県,可児市,ｷﾞﾌｹﾝ,ｶﾆｼ,FALSE,21
21215,岐阜県,山県市,ｷﾞﾌｹﾝ,ﾔﾏｶﾞﾀｼ,FALSE,21
21216,岐阜県,瑞穂市,ｷﾞﾌｹﾝ,ﾐｽﾞﾎｼ,FALSE,21
21217,岐阜県,飛騨市,ｷﾞﾌｹﾝ,ﾋﾀﾞｼ,FALSE,21
21218,岐阜県,本巣市,ｷﾞﾌｹﾝ,ﾓﾄｽｼ,FALSE,21
21219,岐阜県,郡上市,ｷﾞﾌｹﾝ,ｸﾞｼﾞｮｳｼ,FALSE,21
21220,岐阜県,下呂市,ｷﾞﾌｹﾝ,ｹﾞﾛｼ,FALSE,21
21221,岐阜県,海津市,ｷﾞﾌｹﾝ,ｶｲﾂﾞｼ,FALSE,21
21302,岐阜県,岐南町,ｷﾞﾌｹﾝ,ｷﾞﾅﾝﾁｮｳ,FALSE,21
21303,岐阜県,笠松町,ｷﾞﾌｹﾝ,ｶｻﾏﾂﾁｮｳ,FALSE,21
21341,岐阜県,養老町,ｷﾞﾌｹﾝ,ﾖｳﾛｳﾁｮｳ,FALSE,21
21361,岐阜県,垂井町,ｷﾞﾌｹﾝ,ﾀﾙｲﾁｮｳ,FALSE,21
21362,岐阜県,関ケ原町,ｷﾞﾌｹﾝ,ｾｷｶﾞﾊﾗﾁｮｳ,FALSE,21
21381,岐阜県,神戸町,ｷﾞﾌｹﾝ,ｺﾞｳﾄﾞﾁｮｳ,FALSE,21
21382,岐阜県,輪之内町,ｷﾞﾌｹﾝ,ﾜﾉｳﾁﾁｮｳ,FALSE,21
21383,岐阜県,安八町,ｷﾞﾌｹﾝ,ｱﾝﾊﾟﾁﾁｮｳ,FALSE,21
21401,岐阜県,揖斐川町,ｷﾞﾌｹﾝ,ｲﾋﾞｶﾞﾜﾁｮｳ,FALSE,21
21403,岐阜県,大野町,ｷﾞﾌｹﾝ,ｵｵﾉﾁｮｳ,FALSE,21
21404,岐阜県,池田町,ｷﾞﾌｹﾝ,ｲｹﾀﾞﾁｮｳ,FALSE,21
21421,岐阜県,北方町,ｷﾞﾌｹﾝ,ｷﾀｶﾞﾀﾁｮｳ,FALSE,21
21501,岐阜県,坂祝町,ｷﾞﾌｹﾝ,ｻｶﾎｷﾞﾁｮｳ,FALSE,21
21502,岐阜県,富加町,ｷﾞﾌｹﾝ,ﾄﾐｶﾁｮｳ,FALSE,21
21503,岐阜県,川辺町,ｷﾞﾌｹﾝ,ｶﾜﾍﾞﾁｮｳ,FALSE,21
21504,岐阜県,七宗町,ｷﾞﾌｹﾝ,ﾋﾁｿｳﾁｮｳ,FALSE,21
21505,岐阜県,八百津町,ｷﾞﾌｹﾝ,ﾔｵﾂﾁｮｳ,FALSE,21
21506,岐阜県,白川町,ｷﾞﾌｹﾝ,ｼﾗｶﾜﾁｮｳ,FALSE,21
21507,岐阜県,東白川村,ｷﾞﾌｹﾝ,ﾋｶﾞｼｼﾗｶﾜﾑﾗ,FALSE,21
21521,岐阜県,御嵩町,ｷﾞﾌｹﾝ,ﾐﾀｹﾁｮｳ,FALSE,21
21604,岐阜県,白川村,ｷﾞﾌｹﾝ,ｼﾗｶﾜﾑﾗ,FALSE,21
22000,静岡県,,ｼｽﾞｵｶｹﾝ,,TRUE,22
22100,静岡県,静岡市,ｼｽﾞｵｶｹﾝ,ｼｽﾞｵｶｼ,FALSE,22
22101,静岡県,静岡市葵区,ｼｽﾞｵｶｹﾝ,ｼｽﾞｵｶｼｱｵｲｸ,FALSE,22
