行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
25000,滋賀県,,ｼｶﾞｹﾝ,,TRUE,25
25201,滋賀県,大津市,ｼｶﾞｹﾝ,ｵｵﾂｼ,FALSE,25
25202,滋賀県,彦根市,ｼｶﾞｹﾝ,ﾋｺﾈｼ,FALSE,25
25203,滋賀県,長浜市,ｼｶﾞｹﾝ,ﾅｶﾞﾊﾏｼ,FALSE,25
25204,滋賀県,近江八幡市,ｼｶﾞｹﾝ,ｵｳﾐﾊﾁﾏﾝｼ,FALSE,25
25206,滋賀県,草津市,ｼｶﾞｹﾝ,ｸｻﾂｼ,FALSE,25
25207,滋賀県,守山市,ｼｶﾞｹﾝ,ﾓﾘﾔﾏｼ,FALSE,25
25208,滋賀県,栗東市,ｼｶﾞｹﾝ,ﾘｯﾄｳｼ,FALSE,25
25209,滋賀県,甲賀市,ｼｶﾞｹﾝ,ｺｳｶｼ,FALSE,25
25210,滋賀県,野洲市,ｼｶﾞｹﾝ,ﾔｽｼ,FALSE,25
25211,滋賀県,湖南市,ｼｶﾞｹﾝ,ｺﾅﾝｼ,FALSE,25
25212,滋賀県,高島市,ｼｶﾞｹﾝ,ﾀｶｼﾏｼ,FALSE,25
25213,滋賀県,東近江市,ｼｶﾞｹﾝ,ﾋｶﾞｼｵｳﾐｼ,FALSE,25
25214,滋賀県,米原市,ｼｶﾞｹﾝ,ﾏｲﾊﾞﾗｼ,FALSE,25
25383,滋賀県,日野町,ｼｶﾞｹﾝ,ﾋﾉﾁｮｳ,FALSE,25
25384,滋賀県,竜王町,ｼｶﾞｹﾝ,ﾘﾕｳｵｳﾁｮｳ,FALSE,25
25425,滋賀県,愛荘町,ｼｶﾞｹﾝ,ｱｲｼｮｳﾁｮｳ,FALSE,25
25441,滋賀県,豊郷町,ｼｶﾞｹﾝ,ﾄﾖｻﾄﾁｮｳ,FALSE,25
25442,滋賀県,甲良町,ｼｶﾞｹﾝ,ｺｳﾗﾁｮｳ,FALSE,25
