行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
31000,鳥取県,,ﾄｯﾄﾘｹﾝ,,TRUE,31
31201,鳥取県,鳥取市,ﾄｯﾄﾘｹﾝ,ﾄｯﾄﾘｼ,FALSE,31
31202,鳥取県,米子市,ﾄｯﾄﾘｹﾝ,ﾖﾅｺﾞｼ,FALSE,31
31203,鳥取県,倉吉市,ﾄｯﾄﾘｹﾝ,ｸﾗﾖｼｼ,FALSE,31
31204,鳥取県,境港市,ﾄｯﾄﾘｹﾝ,ｻｶｲﾐﾅﾄｼ,FALSE,31
31302,鳥取県,岩美町,ﾄｯﾄﾘｹﾝ,ｲﾜﾐﾁｮｳ,FALSE,31
31325,鳥取県,若桜町,ﾄｯﾄﾘｹﾝ,ﾜｶｻﾁｮｳ,FALSE,31
31328,鳥取県,智頭町,ﾄｯﾄﾘｹﾝ,ﾁﾂﾞﾁｮｳ,FALSE,31
31329,鳥取県,八頭町,ﾄｯﾄﾘｹﾝ,ﾔｽﾞﾁｮｳ,FALSE,31
31364,鳥取県,三朝町,ﾄｯﾄﾘｹﾝ,ﾐｻｻﾁｮｳ,FALSE,31
31370,鳥取県,湯梨浜町,ﾄｯﾄﾘｹﾝ,ﾕﾘﾊﾏﾁｮｳ,FALSE,31
31371,鳥取県,琴浦町,ﾄｯﾄﾘｹﾝ,ｺﾄｳﾗﾁｮｳ,FALSE,31
31372,鳥取県,北栄町,ﾄｯﾄﾘｹﾝ,ﾎｸｴｲﾁｮｳ,FALSE,31
31384,鳥取県,日吉津村,ﾄｯﾄﾘｹﾝ,ﾋｴﾂﾞｿﾝ,FALSE,31
31386,鳥取県,大山町,ﾄｯﾄﾘｹﾝ,ﾀﾞｲｾﾝﾁｮｳ,FALSE,31
31389,鳥取県,南部町,ﾄｯﾄﾘｹﾝ,ﾅﾝﾌﾞﾁｮｳ,FALSE,31
31390,鳥取県,伯耆町,ﾄｯﾄﾘｹﾝ,ﾎｳｷﾁｮｳ,FALSE,31
31401,鳥取県,日南町,ﾄｯﾄﾘｹﾝ,ﾆﾁﾅﾝﾁｮｳ,FALSE,31
31402,鳥取県,日野町,ﾄｯﾄﾘｹﾝ,ﾋﾉﾁｮｳ,FALSE,31
31403,鳥取県,江府町,ﾄｯﾄﾘｹﾝ,ｺｳﾌﾁｮｳ,FALSE,31
32000,島根県,,ｼﾏﾈｹﾝ,,TRUE,32
32201,島根県,松江市,ｼﾏﾈｹﾝ,ﾏﾂｴｼ,FALSE,32
32202,島根県,浜田市,ｼﾏﾈｹﾝ,ﾊﾏﾀﾞｼ,FALSE,32
32203,島根県,出雲市,ｼﾏﾈｹﾝ,ｲｽﾞﾓｼ,FALSE,32
32204,島根県,益田市,ｼﾏﾈｹﾝ,ﾏｽﾀﾞｼ,FALSE,32
32205,島根県,大田市,ｼﾏﾈｹﾝ,ｵｵﾀﾞｼ,FALSE,32
