行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
36000,徳島県,,ﾄｸｼﾏｹﾝ,,TRUE,36
36201,徳島県,徳島市,ﾄｸｼﾏｹﾝ,ﾄｸｼﾏｼ,FALSE,36
36202,徳島県,鳴門市,ﾄｸｼﾏｹﾝ,ﾅﾙﾄｼ,FALSE,36
36203,徳島県,小松島市,ﾄｸｼﾏｹﾝ,ｺﾏﾂｼﾏｼ,FALSE,36
36204,徳島県,阿南市,ﾄｸｼﾏｹﾝ,ｱﾅﾝｼ,FALSE,36
36205,徳島県,吉野川市,ﾄｸｼﾏｹﾝ,ﾖｼﾉｶﾞﾜｼ,FALSE,36
36206,徳島県,阿波市,ﾄｸｼﾏｹﾝ,ｱﾜｼ,FALSE,36
36207,徳島県,美馬市,ﾄｸｼﾏｹﾝ,ﾐﾏｼ,FALSE,36
36208,徳島県,三好市,ﾄｸｼﾏｹﾝ,ﾐﾖｼｼ,FALSE,36
36301,徳島県,勝浦町,ﾄｸｼﾏｹﾝ,ｶﾂｳﾗﾁｮｳ,FALSE,36
36302,徳島県,上勝町,ﾄｸｼﾏｹﾝ,ｶﾐｶﾂﾁｮｳ,FALSE,36
36321,徳島県,佐那河内村,ﾄｸｼﾏｹﾝ,ｻﾅｺﾞｳﾁｿﾝ,FALSE,36
36341,徳島県,石井町,ﾄｸｼﾏｹﾝ,ｲｼｲﾁｮｳ,FALSE,36
36342,徳島県,神山町,ﾄｸｼﾏｹﾝ,ｶﾐﾔﾏﾁｮｳ,FALSE,36
36368,徳島県,那賀町,ﾄｸｼﾏｹﾝ,ﾅｶﾁｮｳ,FALSE,36
36383,徳島県,牟岐町,ﾄｸｼﾏｹﾝ,ﾑｷﾞﾁｮｳ,FALSE,36
36387,徳島県,美波町,ﾄｸｼﾏｹﾝ,ﾐﾅﾐﾁｮｳ,FALSE,36
36388,徳島県,海陽町,ﾄｸｼﾏｹﾝ,ｶｲﾖｳﾁｮｳ,FALSE,36
36401,徳島県,松茂町,ﾄｸｼﾏｹﾝ,ﾏﾂｼｹﾞﾁｮｳ,FALSE,36
