行政区域コード,"都道府県名
（漢字）","市区町村名
（漢字）","都道府県名
（ｶﾅ）","市区町村名
（ｶﾅ）",都道府県真偽値,都道府県コード
40000,福岡県,,ﾌｸｵｶｹﾝ,,TRUE,40
40100,福岡県,北九州市,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼ,FALSE,40
40101,福岡県,北九州市門司区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,FALSE,40
40103,福岡県,北九州市若松区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾜｶﾏﾂｸ,FALSE,40
40105,福岡県,北九州市戸畑区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾄﾊﾞﾀｸ,FALSE,40
40106,福岡県,北九州市小倉北区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼｺｸﾗｷﾀｸ,FALSE,40
40107,福岡県,北九州市小倉南区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼｺｸﾗﾐﾅﾐｸ,FALSE,40
40108,福岡県,北九州市八幡東区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾔﾊﾀﾋｶﾞｼｸ,FALSE,40
40109,福岡県,北九州市八幡西区,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾔﾊﾀﾆｼｸ,FALSE,40
40130,福岡県,福岡市,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼ,FALSE,40
40131,福岡県,福岡市東区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼﾋｶﾞｼｸ,FALSE,40
40132,福岡県,福岡市博多区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼﾊｶﾀｸ,FALSE,40
40133,福岡県,福岡市中央区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼﾁｭｳｵｳｸ,FALSE,40
40134,福岡県,福岡市南区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼﾐﾅﾐｸ,FALSE,40
40135,福岡県,福岡市西区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼﾆｼｸ,FALSE,40
40136,福岡県,福岡市城南区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼｼﾞｮｳﾅﾝｸ,FALSE,40
40137,福岡県,福岡市早良区,ﾌｸｵｶｹﾝ,ﾌｸｵｶｼｻﾜﾗｸ,FALSE,40
40202,福岡県,大牟田市,ﾌｸｵｶｹﾝ,ｵｵﾑﾀｼ,FALSE,40
40203,福岡県,久留米市,ﾌｸｵｶｹﾝ,ｸﾙﾒｼ,FALSE,40
40204,福岡県,直方市,ﾌｸｵｶｹﾝ,ﾉｵｶﾞﾀｼ,FALSE,40
40205,福岡県,飯塚市,ﾌｸｵｶｹﾝ,ｲｲﾂﾞｶｼ,FALSE,40
40206,福岡県,田川市,ﾌｸｵｶｹﾝ,ﾀｶﾞﾜｼ,FALSE,40
40207,福岡県,柳川市,ﾌｸｵｶｹﾝ,ﾔﾅｶﾞﾜｼ,FALSE,40
40210,福岡県,八女市,ﾌｸｵｶｹﾝ,ﾔﾒｼ,FALSE,40
40211,福岡県,筑後市,ﾌｸｵｶｹﾝ,ﾁｸｺﾞｼ,FALSE,40
40212,福岡県,大川市,ﾌｸｵｶｹﾝ,ｵｵｶﾜｼ,FALSE,40
40213,福岡県,行橋市,ﾌｸｵｶｹﾝ,ﾕｸﾊｼｼ,FALSE,40
40214,福岡県,豊前市,ﾌｸｵｶｹﾝ,ﾌﾞｾﾞﾝｼ,FALSE,40
40215,福岡県,中間市,ﾌｸｵｶｹﾝ,ﾅｶﾏｼ,FALSE,40
40216,福岡県,小郡市,ﾌｸｵｶｹﾝ,ｵｺﾞｵﾘｼ,FALSE,40
40217,福岡県,筑紫野市,ﾌｸｵｶｹﾝ,ﾁｸｼﾉｼ,FALSE,40
40218,福岡県,春日市,ﾌｸｵｶｹﾝ,ｶｽｶﾞｼ,FALSE,40
40219,福岡県,大野城市,ﾌｸｵｶｹﾝ,ｵｵﾉｼﾞｮｳｼ,FALSE,40
40220,福岡県,宗像市,ﾌｸｵｶｹﾝ,ﾑﾅｶﾀｼ,FALSE,40
40221,福岡県,太宰府市,ﾌｸｵｶｹﾝ,ﾀﾞｻﾞｲﾌｼ,FALSE,40
40223,福岡県,古賀市,ﾌｸｵｶｹﾝ,ｺｶﾞｼ,FALSE,40
40224,福岡県,福津市,ﾌｸｵｶｹﾝ,ﾌｸﾂｼ,FALSE,40
40225,福岡県,うきは市,ﾌｸｵｶｹﾝ,ｳｷﾊｼ,FALSE,40
40226,福岡県,宮若市,ﾌｸｵｶｹﾝ,ﾐﾔﾜｶｼ,FALSE,40
40227,福岡県,嘉麻市,ﾌｸｵｶｹﾝ,ｶﾏｼ,FALSE,40
40228,福岡県,朝倉市,ﾌｸｵｶｹﾝ,ｱｻｸﾗｼ,FALSE,40
40229,福岡県,みやま市,ﾌｸｵｶｹﾝ,ﾐﾔﾏｼ,FALSE,40
40230,福岡県,糸島市,ﾌｸｵｶｹﾝ,ｲﾄｼﾏｼ,FALSE,40
40231,福岡県,那珂川市,ﾌｸｵｶｹﾝ,ﾅｶｶﾞﾜｼ,FALSE,40
40341,福岡県,宇美町,ﾌｸｵｶｹﾝ,ｳﾐﾏﾁ,FALSE,40
40342,福岡県,篠栗町,ﾌｸｵｶｹﾝ,ｻｻｸﾞﾘﾏﾁ,FALSE,40
40343,福岡県,志免町,ﾌｸｵｶｹﾝ,ｼﾒﾏﾁ,FALSE,40
40344,福岡県,須恵町,ﾌｸｵｶｹﾝ,ｽｴﾏﾁ,FALSE,40
40345,福岡県,新宮町,ﾌｸｵｶｹﾝ,ｼﾝｸﾞｳﾏﾁ,FALSE,40
40348,福岡県,久山町,ﾌｸｵｶｹﾝ,ﾋｻﾔﾏﾏﾁ,FALSE,40
40349,福岡県,粕屋町,ﾌｸｵｶｹﾝ,ｶｽﾔﾏﾁ,FALSE,40
40381,福岡県,芦屋町,ﾌｸｵｶｹﾝ,ｱｼﾔﾏﾁ,FALSE,40
40382,福岡県,水巻町,ﾌｸｵｶｹﾝ,ﾐｽﾞﾏｷﾏﾁ,FALSE,40
40383,福岡県,岡垣町,ﾌｸｵｶｹﾝ,ｵｶｶﾞｷﾏﾁ,FALSE,40
40384,福岡県,遠賀町,ﾌｸｵｶｹﾝ,ｵﾝｶﾞﾁｮｳ,FALSE,40
40401,福岡県,小竹町,ﾌｸｵｶｹﾝ,ｺﾀｹﾏﾁ,FALSE,40
40402,福岡県,鞍手町,ﾌｸｵｶｹﾝ,ｸﾗﾃﾏﾁ,FALSE,40
40421,福岡県,桂川町,ﾌｸｵｶｹﾝ,ｹｲｾﾝﾏﾁ,FALSE,40
40447,福岡県,筑前町,ﾌｸｵｶｹﾝ,ﾁｸｾﾞﾝﾏﾁ,FALSE,40
40448,福岡県,東峰村,ﾌｸｵｶｹﾝ,ﾄｳﾎｳﾑﾗ,FALSE,40
40503,福岡県,大刀洗町,ﾌｸｵｶｹﾝ,ﾀﾁｱﾗｲﾏﾁ,FALSE,40
40522,福岡県,大木町,ﾌｸｵｶｹﾝ,ｵｵｷﾏﾁ,FALSE,40
40544,福岡県,広川町,ﾌｸｵｶｹﾝ,ﾋﾛｶﾜﾏﾁ,FALSE,40
40601,福岡県,香春町,ﾌｸｵｶｹﾝ,ｶﾜﾗﾏﾁ,FALSE,40
40602,福岡県,添田町,ﾌｸｵｶｹﾝ,ｿｴﾀﾞﾏﾁ,FALSE,40
40604,福岡県,糸田町,ﾌｸｵｶｹﾝ,ｲﾄﾀﾞﾏﾁ,FALSE,40
40605,福岡県,川崎町,ﾌｸｵｶｹﾝ,ｶﾜｻｷﾏﾁ,FALSE,40
40608,福岡県,大任町,ﾌｸｵｶｹﾝ,ｵｵﾄｳﾏﾁ,FALSE,40
40609,福岡県,赤村,ﾌｸｵｶｹﾝ,ｱｶﾑﾗ,FALSE,40
40610,福岡県,福智町,ﾌｸｵｶｹﾝ,ﾌｸﾁﾏﾁ,FALSE,40
40621,福岡県,苅田町,ﾌｸｵｶｹﾝ,ｶﾝﾀﾞﾏﾁ,FALSE,40
40625,福岡県,みやこ町,ﾌｸｵｶｹﾝ,ﾐﾔｺﾏﾁ,FALSE,40
40642,福岡県,吉富町,ﾌｸｵｶｹﾝ,ﾖｼﾄﾐﾏﾁ,FALSE,40
40646,福岡県,上毛町,ﾌｸｵｶｹﾝ,ｺｳｹﾞﾏﾁ,FALSE,40
40647,福岡県,築上町,ﾌｸｵｶｹﾝ,ﾁｸｼﾞｮｳﾏﾁ,FALSE,40
41000,佐賀県,,ｻｶﾞｹﾝ,,TRUE,41
41201,佐賀県,佐賀市,ｻｶﾞｹﾝ,ｻｶﾞｼ,FALSE,41
41202,佐賀県,唐津市,ｻｶﾞｹﾝ,ｶﾗﾂｼ,FALSE,41
41203,佐賀県,鳥栖市,ｻｶﾞｹﾝ,ﾄｽｼ,FALSE,41
41204,佐賀県,多久市,ｻｶﾞｹﾝ,ﾀｸｼ,FALSE,41
41205,佐賀県,伊万里市,ｻｶﾞｹﾝ,ｲﾏﾘｼ,FALSE,41
41206,佐賀県,武雄市,ｻｶﾞｹﾝ,ﾀｹｵｼ,FALSE,41
41207,佐賀県,鹿島市,ｻｶﾞｹﾝ,ｶｼﾏｼ,FALSE,41
41208,佐賀県,小城市,ｻｶﾞｹﾝ,ｵｷﾞｼ,FALSE,41
41209,佐賀県,嬉野市,ｻｶﾞｹﾝ,ｳﾚｼﾉｼ,FALSE,41
